cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,1,5120,8192,21,0,13.1435,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,6.38,1596.67,0.0
256,1,5120,25600,21,0,36.0062,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,7.28,1820.77,0.0
256,2,5120,8192,21,0,13.4595,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,12.46,1560.25,0.0
256,2,5120,25600,21,0,36.4036,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,14.4,1801.53,0.0
256,4,5120,8192,21,0,13.5354,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,24.79,1553.62,0.0
256,4,5120,25600,21,0,36.7217,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,28.55,1787.18,0.0
256,8,5120,8192,21,0,13.8624,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,48.41,1521.11,0.0
256,8,5120,25600,21,0,37.5835,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,55.8,1748.65,0.0
256,16,5120,8192,21,0,14.2382,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,94.27,1489.02,0.0
256,16,5120,25600,21,0,39.222,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,106.94,1680.3,0.0
256,24,5120,8192,21,0,14.7709,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,136.3,1443.08,0.0
256,24,5120,25600,21,0,40.6612,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,154.73,1625.36,0.0
256,32,5120,8192,29,0,15.2849,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,175.62,1402.06,0.0
256,32,5120,25600,21,0,42.0902,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,199.3,1574.55,0.0
256,40,5120,8192,21,0,13.9026,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,241.35,1549.71,0.0
256,40,5120,25600,21,0,37.5845,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,278.99,1768.22,0.0
256,48,5120,8192,21,0,14.2554,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,282.46,1519.4,0.0
256,48,5120,25600,21,0,38.9437,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,323.11,1711.24,0.0
256,56,5120,8192,21,0,14.5943,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,321.88,1491.98,0.0
