M,N,K
1, 10240, 5120
1, 5120, 8192
1, 51200, 5120
1, 5120, 25600
2, 10240, 5120
2, 5120, 8192
2, 51200, 5120
2, 5120, 25600
4, 10240, 5120
4, 5120, 8192
4, 51200, 5120
4, 5120, 25600
8, 10240, 5120
8, 5120, 8192
8, 51200, 5120
8, 5120, 25600
16, 10240, 5120
16, 5120, 8192
16, 51200, 5120
16, 5120, 25600
24, 10240, 5120
24, 5120, 8192
24, 51200, 5120
24, 5120, 25600
32, 10240, 5120
32, 5120, 8192
32, 51200, 5120
32, 5120, 25600
40, 10240, 5120
40, 5120, 8192
40, 51200, 5120
40, 5120, 25600
48, 10240, 5120
48, 5120, 8192
48, 51200, 5120
48, 5120, 25600
56, 10240, 5120
56, 5120, 8192
56, 51200, 5120
56, 5120, 25600
64, 10240, 5120
64, 5120, 8192
64, 51200, 5120
64, 5120, 25600
72, 10240, 5120
72, 5120, 8192
72, 51200, 5120
72, 5120, 25600
80, 10240, 5120
80, 5120, 8192
80, 51200, 5120
80, 5120, 25600
88, 10240, 5120
88, 5120, 8192
88, 51200, 5120
88, 5120, 25600
96, 10240, 5120
96, 5120, 8192
96, 51200, 5120
96, 5120, 25600
104, 10240, 5120
104, 5120, 8192
104, 51200, 5120
104, 5120, 25600
112, 10240, 5120
112, 5120, 8192
112, 51200, 5120
112, 5120, 25600
120, 10240, 5120
120, 5120, 8192
120, 51200, 5120
120, 5120, 25600
128, 10240, 5120
128, 5120, 8192
128, 51200, 5120
128, 5120, 25600
136, 10240, 5120
136, 5120, 8192
136, 51200, 5120
136, 5120, 25600
144, 10240, 5120
144, 5120, 8192
144, 51200, 5120
144, 5120, 25600
152, 10240, 5120
152, 5120, 8192
152, 51200, 5120
152, 5120, 25600
160, 10240, 5120
160, 5120, 8192
160, 51200, 5120
160, 5120, 25600
168, 10240, 5120
168, 5120, 8192
168, 51200, 5120
168, 5120, 25600
176, 10240, 5120
176, 5120, 8192
176, 51200, 5120
176, 5120, 25600
184, 10240, 5120
184, 5120, 8192
184, 51200, 5120
184, 5120, 25600
192, 10240, 5120
192, 5120, 8192
192, 51200, 5120
192, 5120, 25600
200, 10240, 5120
200, 5120, 8192
200, 51200, 5120
200, 5120, 25600
208, 10240, 5120
208, 5120, 8192
208, 51200, 5120
208, 5120, 25600
216, 10240, 5120
216, 5120, 8192
216, 51200, 5120
216, 5120, 25600
224, 10240, 5120
224, 5120, 8192
224, 51200, 5120
224, 5120, 25600
232, 10240, 5120
232, 5120, 8192
232, 51200, 5120
232, 5120, 25600
240, 10240, 5120
240, 5120, 8192
240, 51200, 5120
240, 5120, 25600
248, 10240, 5120
248, 5120, 8192
248, 51200, 5120
248, 5120, 25600
256, 10240, 5120
256, 5120, 8192
256, 51200, 5120
256, 5120, 25600
272, 10240, 5120
272, 5120, 8192
272, 51200, 5120
272, 5120, 25600
288, 10240, 5120
288, 5120, 8192
288, 51200, 5120
288, 5120, 25600
304, 10240, 5120
304, 5120, 8192
304, 51200, 5120
304, 5120, 25600
320, 10240, 5120
320, 5120, 8192
320, 51200, 5120
320, 5120, 25600
336, 10240, 5120
336, 5120, 8192
336, 51200, 5120
336, 5120, 25600
352, 10240, 5120
352, 5120, 8192
352, 51200, 5120
352, 5120, 25600
368, 10240, 5120
368, 5120, 8192
368, 51200, 5120
368, 5120, 25600
384, 10240, 5120
384, 5120, 8192
384, 51200, 5120
384, 5120, 25600
400, 10240, 5120
400, 5120, 8192
400, 51200, 5120
400, 5120, 25600
416, 10240, 5120
416, 5120, 8192
416, 51200, 5120
416, 5120, 25600
432, 10240, 5120
432, 5120, 8192
432, 51200, 5120
432, 5120, 25600
448, 10240, 5120
448, 5120, 8192
448, 51200, 5120
448, 5120, 25600
464, 10240, 5120
464, 5120, 8192
464, 51200, 5120
464, 5120, 25600
480, 10240, 5120
480, 5120, 8192
480, 51200, 5120
480, 5120, 25600
496, 10240, 5120
496, 5120, 8192
496, 51200, 5120
496, 5120, 25600
512, 10240, 5120
512, 5120, 8192
512, 51200, 5120
512, 5120, 25600
